,infected,infection_counter,immune,missed
0,1,0,1,0
1,0,0,1,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,1,1,0
8,1,0,1,0
9,0,0,0,0
10,0,0,1,0
11,0,1,1,0
12,1,0,1,0
13,0,0,0,0
14,0,2,1,0
15,0,0,0,0
16,0,1,1,0
17,0,0,0,0
18,0,2,1,0
19,0,0,1,0
20,0,0,0,0
21,0,0,0,0
22,0,1,1,0
23,0,0,0,0
24,0,1,1,0
25,1,0,1,0
26,1,0,1,0
27,1,0,1,0
28,0,0,0,0
29,0,1,1,0
30,1,0,1,0
31,1,0,1,0
32,0,1,1,0
33,0,0,1,0
34,0,1,1,0
35,1,0,1,0
36,0,1,1,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,1,1,0
41,0,3,1,0
42,0,1,1,0
43,1,0,1,0
44,1,0,1,0
45,0,0,0,0
46,1,0,1,0
47,1,0,1,0
48,0,0,1,0
49,1,0,1,0
50,0,0,1,0
51,0,0,0,0
52,1,0,1,0
53,0,0,0,0
54,0,0,0,0
55,1,0,1,0
56,0,0,1,0
57,0,1,1,0
58,0,0,0,0
59,0,0,0,0
60,1,0,1,0
61,0,0,1,0
62,0,1,1,0
63,1,0,1,0
64,0,0,1,0
65,1,0,1,0
66,0,1,1,0
67,0,0,0,0
68,1,0,1,0
69,1,0,1,0
70,0,0,1,0
71,0,0,1,0
72,0,0,0,0
73,1,0,1,0
74,1,0,1,0
75,0,1,1,0
76,0,0,1,0
77,1,0,1,0
78,0,0,0,0
79,0,0,1,0
80,0,0,0,0
81,0,1,1,0
82,0,0,1,0
83,0,0,1,0
84,0,0,0,0
85,0,0,1,0
86,0,1,1,2
87,0,1,1,0
88,0,1,1,1
89,1,0,1,0
90,0,0,0,0
91,0,0,1,3
92,1,0,1,1
93,1,0,1,0
94,0,0,1,0
95,1,0,1,0
96,0,2,1,0
97,0,0,1,0
98,0,0,1,0
99,0,0,1,0
